DATE,MONTH,TYPE OF INCIDENT/ACTIVITY,TIME,TYPE OF EMR,"LOCATION (specify, nearest landmark or intersection)
(sample format): UN Ave. near Taft Intersection",INVOLVED,RECEIVING HOSPITAL,LATITUDE,LONGTITUDE,LATITUDE,LONGTITUDE,NO. OF OUTDATED ROAD TRAFFIC CONTROL DEVICES,
"April 6, 2023",April 2023,Emergency Medical Response (EMR),3:51:00 am,Vehicular / Road Accident,Mel lopez cor pacheco,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital," 14°37'14.05""N","120°57'57.25""E",14.620569,120.965903,0,
"April 6, 2023",April 2023,Emergency Medical Response (EMR),7:47:00 pm,Vehicular / Road Accident,Abad Santos cor Tayuman,Others,Sta. Ana Hospital," 14°37'0.17""N","120°58'38.15""E",14.616714,120.977264,5,
"April 7, 2023",April 2023,Emergency Medical Response (EMR),2:12:00 am,Vehicular / Road Accident, jose abad santos cor corrigedor,Motorcycle vs Ebike/Bike,Jose Reyes Hospital," 14°37'44.29""N","120°58'45.87""E",14.628969,120.979408,1,
"April 7, 2023",April 2023,Emergency Medical Response (EMR),6:01:00 am,Vehicular / Road Accident,Zaragosa street M. Lopez Blvd Tondo Manila,Motorcycle (Loss of Control),Refused to transport," 14°36'9.26""N","120°57'42.73""E",14.602572,120.961869,0,
"April 7, 2023",April 2023,Emergency Medical Response (EMR),5:09:00 pm,Vehicular / Road Accident,Honorio Lopez northbay ,E-Bike (Loss of Control),Gat. Andres Bonifacio Hospital," 14°38'10.11""N","120°57'42.08""E",14.636142,120.961689,0,
"April 8, 2023",April 2023,Emergency Medical Response (EMR),8:00:00 am,Vehicular / Road Accident,C.M. Recto Ave. Infront of 7-11 Binondo Manila,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital," 14°36'20.86""N","120°58'12.98""E",14.605794,120.970272,1,
"April 8, 2023",April 2023,Emergency Medical Response (EMR),9:07:00 am,Vehicular / Road Accident,Moriones in front of Edens Sizzling Restaurant,Motorcycle vs Ebike/Bike,Jose Reyes Hospital," 14°36'35.16""N","120°57'54.35""E",14.609767,120.965097,0,
"April 8, 2023",April 2023,Emergency Medical Response (EMR),2:52:00 pm,Vehicular / Road Accident,Mayhaligue st. Corner rizal ave sta.cruz manila,Motorcycle vs SUV,Sta. Ana Hospital," 14°36'31.44""N","120°58'56.43""E",14.608733,120.982342,1,
"April 8, 2023",April 2023,Emergency Medical Response (EMR),6:19:00 pm,Vehicular / Road Accident,Sapanta st. Cor. Singgalong Malate Manila,Motorcycle vs Ebike/Bike,Ospital ng Maynila (OSMA)," 14°34'3.99""N","120°59'46.50""E",14.601108,120.99625,0,
"April 9, 2023",April 2023,Emergency Medical Response (EMR),12:24:00 am,Vehicular / Road Accident,Apacible cor. San Marcelino st.,Motorcycle vs Sedan,Philippine Orthopedic Center (P.O.C.)," 14°34'47.33""N","120°59'20.10""E",14.579814,120.988917,0,
"April 9, 2023",April 2023,Emergency Medical Response (EMR),7:09:00 am,Vehicular / Road Accident,Barangay 319 Sta Cruz Manila ,Others,Ospital ng Maynila (OSMA)," 14°36'35.78""N","120°59'10.01""E",14.609939,120.986114,2,
"April 9, 2023",April 2023,Emergency Medical Response (EMR),10:37:00 am,Vehicular / Road Accident,Pier 15 Bonifacio st ,Others,Others," 14°35'22.51""N","120°58'9.89""E",14.589586,120.969414,0,
"April 10, 2023",April 2023,Emergency Medical Response (EMR),9:13:00 am,Vehicular / Road Accident,Pedro Gil cor Paz st ,Others,Philippine General Hospital (PGH)," 14°34'43.34""N","120°59'42.86""E",14.578706,120.995239,1,
"April 12, 2023",April 2023,Emergency Medical Response (EMR),9:50:00 am,Vehicular / Road Accident,LAGUSNILAD,Motorcycle (Loss of Control),Refused to transport," 14°35'21.06""N","120°58'51.36""E",14.589183,120.980933,0,
"April 13, 2023",April 2023,Emergency Medical Response (EMR),,Vehicular / Road Accident,ROXAS BLVD. IN FRONT OF BSP,Motorcycle vs Sedan,Ospital ng Maynila (OSMA)," 14°33'35.95""N","120°59'13.12""E",14.559986,120.986978,0,
"April 14, 2023",April 2023,Emergency Medical Response (EMR),12:36:00 am,Vehicular / Road Accident,ESPAÑA ,Motorcycle vs Truck,Philippine Orthopedic Center (P.O.C.)," 14°36'41.68""N","120°59'41.92""E",14.611578,120.994978,0,
"April 14, 2023",April 2023,Emergency Medical Response (EMR),11:31:00 am,Vehicular / Road Accident,AYALA COR. TAFT AVE ,Motorcycle vs Sedan,UST Hospital," 14°33'45.10""N","120°59'43.10""E",14.562528,120.995306,3,
"April 14, 2023",April 2023,Emergency Medical Response (EMR),4:29:00 pm,Vehicular / Road Accident,VICENTE CRUZ LAON LAAN,PUV vs PUV,Gat. Andres Bonifacio Hospital," 14°36'57.76""N","120°59'27.39""E",14.616044,120.990942,0,
"April 16, 2023",April 2023,Emergency Medical Response (EMR),5:13:00 am,Vehicular / Road Accident,P. Burgos South Bound Near Lawton,Motorcycle vs Pedestrian,Ospital ng Maynila (OSMA)," 14°35'38.51""N","120°58'41.77""E",14.594031,120.978269,0,
"April 16, 2023",April 2023,Emergency Medical Response (EMR),5:13:00 am,Vehicular / Road Accident,P. Burgos South Bound Nar Lawton,Motorcycle vs Pedestrian,Refused to transport," 14°35'38.51""N","120°58'41.77""E",14.594031,120.978269,0,
"April 16, 2023",April 2023,Emergency Medical Response (EMR),7:15:00 am,Vehicular / Road Accident,"Soler St. corner Reyna Regente, Binondo Manila",Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°36'16.86""N","120°58'27.89""E",14.604683,120.974414,1,
"April 16, 2023",April 2023,Emergency Medical Response (EMR),4:00:00 pm,Vehicular / Road Accident,Mabini St. corner Malate,Motorcycle vs SUV,Philippine General Hospital (PGH)," 14°34'25.86""N","120°58'59.19""E",14.57385,120.983108,0,
"April 16, 2023",April 2023,Emergency Medical Response (EMR),4:00:00 pm,Vehicular / Road Accident,Mabini St. Corner Malate,Motorcycle vs SUV,Philippine General Hospital (PGH)," 14°34'25.86""N","120°58'59.19""E",14.57385,120.983108,0,
"April 17, 2023",April 2023,Emergency Medical Response (EMR),7:25:00 am,Vehicular / Road Accident,Infront of Kartilya,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°35'27.09""N","120°58'50.51""E",14.590858,120.980697,0,
"April 17, 2023",April 2023,Emergency Medical Response (EMR),10:36:00 am,Vehicular / Road Accident,Arevalo St Corner Vicente Cruz Sampaloc Manila,Motorcycle vs PUV,Others," 14°36'15.99""N","121° 0'4.83""E",14.604442,121.001342,0,
"April 17, 2023",April 2023,Emergency Medical Response (EMR),2:29:00 pm,Vehicular / Road Accident,Adriatico corner P. Ocampo Malate Manila ,Motorcycle vs Close Van,Maniila Doctor's Hospital," 14°33'39.34""N","120°59'32.14""E",14.560928,120.992261,3,
"April 17, 2023",April 2023,Emergency Medical Response (EMR),6:40:00 pm,Vehicular / Road Accident,San Andres Adriatico,PUJ vs Pedestrian,Ospital ng Maynila (OSMA)," 14°33'58.69""N","120°59'17.87""E",14.566303,120.988297,3,
"April 17, 2023",April 2023,Emergency Medical Response (EMR),6:57:00 pm,Vehicular / Road Accident,UN Avenue cor Perez,Motorcycle vs PUV,Others," 14°35'2.13""N","120°59'20.93""E",14.583925,120.989147,0,
"April 18, 2023",April 2023,Emergency Medical Response (EMR),4:45:00 am,Vehicular / Road Accident,Manila Zoo,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°33'55.60""N","120°59'15.48""E",14.565444,120.987633,0,
"April 18, 2023",April 2023,Emergency Medical Response (EMR),5:53:00 am,Vehicular / Road Accident,M. Dela Fuente Samapaloc Manila,Motorcycle vs SUV,Ospital ng Sampaloc (OSAM)," 14°36'42.72""N","120°59'38.15""E",14.611867,120.993931,0,
"April 18, 2023",April 2023,Emergency Medical Response (EMR),5:53:00 am,Vehicular / Road Accident,M. Dela fuente Sampaloc Manila,Motorcycle vs SUV,Ospital ng Sampaloc (OSAM)," 14°36'42.72""N","120°59'38.15""E",14.611867,120.993931,0,
"April 18, 2023",April 2023,Emergency Medical Response (EMR),12:04:00 pm,Vehicular / Road Accident,Roxas Boulevard in front of Philippine Port Authority ,Motorcycle vs Truck,Gat. Andres Bonifacio Hospital," 14°35'11.62""N","120°58'24.31""E",14.586561,120.973419,0,
"April 18, 2023",April 2023,Emergency Medical Response (EMR),10:08:00 pm,Vehicular / Road Accident,Recto Corner Morayta ,PUJ (Loss of Control),Refused to transport," 14°36'7.99""N","120°59'14.05""E",14.602219,120.987236,2,
"April 20, 2023",April 2023,Emergency Medical Response (EMR),10:54:00 am,Vehicular / Road Accident,G. Del Pilar Brgy.747 Malate Manila,E-Bike (Loss of Control),Ospital ng Maynila (OSMA)," 14°34'9.12""N","121° 0'2.26""E",14.5692,121.000628,0,
"April 20, 2023",April 2023,Emergency Medical Response (EMR),5:30:00 pm,Vehicular / Road Accident,Osmeña corner Quirino,Motorcycle vs SUV,Refused to transport," 14°34'37.20""N","120°59'48.97""E",14.577,120.996936,1,
"April 22, 2023",April 2023,Emergency Medical Response (EMR),1:59:00 am,Vehicular / Road Accident,Lagusnilad,Motorcycle (Loss of Control),Refused to transport," 14°35'20.88""N","120°58'51.51""E",14.589133,120.980975,0,
"April 23, 2023",April 2023,Emergency Medical Response (EMR),11:01:00 am,Vehicular / Road Accident,Goodyear infront of Unilever,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°35'8.17""N","120°59'37.96""E",14.585603,120.993878,0,
"April 23, 2023",April 2023,Emergency Medical Response (EMR),1:12:00 pm,Vehicular / Road Accident,Road 10,Motorcycle vs Pedestrian,Philippine Orthopedic Center (P.O.C.)," 14°36'18.65""N","120°57'41.41""E",14.605181,120.961503,0,
"April 24, 2023",April 2023,Emergency Medical Response (EMR),7:09:00 am,Vehicular / Road Accident,Osmena Highway between San Andres and P. Ocampo Southbound,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°33'58.95""N","121° 0'10.04""E",14.566375,121.002789,4,
"April 25, 2023",April 2023,Emergency Medical Response (EMR),1:50:00 am,Vehicular / Road Accident,Solis St. corner Abad Santos,Motorcycle vs Motorcycle,Double two upon arrival," 14°37'37.19""N","120°58'43.66""E",14.626997,120.978794,3,
"April 25, 2023",April 2023,Emergency Medical Response (EMR),8:23:00 am,Vehicular / Road Accident,"Pedro Gil St., Infront of Sta. Ana Church, Sta.Ana, Manila",Motorcycle vs Motorcycle,Double two upon arrival," 14°34'54.91""N","121° 0'47.69""E",14.581719,121.013247,1,
"April 25, 2023",April 2023,Emergency Medical Response (EMR),9:51:00 am,Vehicular / Road Accident,Road 10 Mel Lopez Boulevard corner Capulong,Motorcycle vs Pedestrian,Gat. Andres Bonifacio Hospital," 14°37'13.21""N","120°57'35.71""E",14.620336,120.959919,1,
"April 25, 2023",April 2023,Emergency Medical Response (EMR),1:49:00 pm,Vehicular / Road Accident,Jose P. Laurel corner Conception Aguila,PUJ (Loss of Control),Ospital ng Sampaloc (OSAM)," 14°35'58.19""N","120°59'52.74""E",14.599497,120.997983,0,
"April 26, 2023",April 2023,Emergency Medical Response (EMR),4:28:00 am,Vehicular / Road Accident,Pedro Gil corner  Roxas Boulevard,Motorcycle vs Sedan,Philippine Orthopedic Center (P.O.C.)," 14°34'23.49""N","120°58'52.48""E",14.573192,120.981244,4,
"April 26, 2023",April 2023,Emergency Medical Response (EMR),11:20:00 am,Vehicular / Road Accident,Marcelo H Del Pilar corner Padre Faura,Sedan vs Pedestrian,Ospital ng Maynila (OSMA)," 14°34'36.97""N","120°58'50.01""E",14.576936,120.980558,3,
"April 26, 2023",April 2023,Emergency Medical Response (EMR),11:20:00 am,Vehicular / Road Accident,Marcelo H Del Pilar corner Padre Faura,Sedan vs Pedestrian,Ospital ng Maynila (OSMA)," 14°34'36.97""N","120°58'50.01""E",14.576936,120.980558,3,
"April 26, 2023",April 2023,Emergency Medical Response (EMR),11:20:00 am,Vehicular / Road Accident,Marcela H Del Pilar corner Padre Faura,Sedan vs Pedestrian,Ospital ng Maynila (OSMA)," 14°34'36.97""N","120°58'50.01""E",14.576936,120.980558,3,
"April 27, 2023",April 2023,Emergency Medical Response (EMR),1:30:00 pm,Vehicular / Road Accident,Osmeña  Highway San Andres Bukid Near PNR Station,Motorcycle vs Motorcycle,Others," 14°34'22.35""N","120°59'58.25""E",14.572875,120.999514,0,
"April 27, 2023",April 2023,Emergency Medical Response (EMR),1:30:00 pm,Vehicular / Road Accident,Osmeña Highway San Andres Bukid Near PNR Station,Motorcycle vs Motorcycle,Others," 14°34'22.35""N","120°59'58.25""E",14.572875,120.999514,0,
"April 27, 2023",April 2023,Emergency Medical Response (EMR),9:00:00 pm,Vehicular / Road Accident,UN Sampaloc,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°36'17.05""N","120°59'22.93""E",14.604736,120.989703,0,
"April 27, 2023",April 2023,Emergency Medical Response (EMR),7:18:00 pm,Vehicular / Road Accident,Lagusnilad Underpass,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°35'21.67""N","120°58'51.36""E",14.589353,120.980933,0,
"April 27, 2023",April 2023,Emergency Medical Response (EMR),10:28:00 pm,Vehicular / Road Accident,"Lagusnilad Underpass Ermita ,Manila",Motorcycle (Loss of Control),Refused to transport," 14°35'21.67""N","120°58'51.36""E",14.589353,120.980933,0,
"April 28, 2023",April 2023,Emergency Medical Response (EMR),7:47:00 pm,Vehicular / Road Accident,V. Mapa Corner Ramon Magsaysay,PUV vs PUV,Refused to transport," 14°36'4.55""N","121° 0'3.52""E",14.601264,121.000978,0,
"April 28, 2023",April 2023,Emergency Medical Response (EMR),3:15:00 pm,Vehicular / Road Accident,Pedro Gil corner Taft,Others,Philippine General Hospital (PGH)," 14°34'34.10""N","120°59'18.17""E",14.576139,120.988381,2,
"April 28, 2023",April 2023,Emergency Medical Response (EMR),7:15:00 pm,Vehicular / Road Accident,"Santa Ana , Calderon St.",Motorcycle vs PUV,Philippine Orthopedic Center (P.O.C.)," 14°34'49.00""N","121° 0'48.24""E",14.580278,121.0134,0,
"April 29, 2023",April 2023,Emergency Medical Response (EMR),8:51:00 am,Vehicular / Road Accident,Lagusnilad Underpass,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°35'21.67""N","120°58'51.36""E",14.589353,120.980933,0,
"April 29, 2023",April 2023,Emergency Medical Response (EMR),7:18:00 pm,Vehicular / Road Accident,Taft Avenue Castro St. Manila,Motorcycle vs SUV,Ospital ng Maynila (OSMA)," 14°34'0.42""N","120°59'35.98""E",14.566783,120.993328,1,
"April 29, 2023",April 2023,Emergency Medical Response (EMR),10:48:00 pm,Vehicular / Road Accident,Juan Luna corner Laguna St. Gagalangin Manila,Motorcycle vs PUV,Gat. Andres Bonifacio Hospital," 14°37'22.48""N","120°58'20.93""E",14.622911,120.972481,1,
"April 30, 2023",April 2023,Emergency Medical Response (EMR),12:57:00 am,Vehicular / Road Accident,Tayuman Corner A. Rivera,Motorcycle vs Pedestrian,Refused to transport," 14°37'0.91""N","120°58'34.01""E",14.616919,120.976114,0,
"April 30, 2023",April 2023,Emergency Medical Response (EMR),10:20:00 pm,Vehicular / Road Accident,Jacinto Road 10,Motorcycle (Loss of Control),Gat. Andres Bonifacio Hospital," 14°37'22.00""N","120°57'35.58""E",14.622778,120.959883,0,
"May 1, 2023",May 2023,Emergency Medical Response (EMR),3:08:00 pm,Vehicular / Road Accident,Infront of Manila Zoo,Others,Ospital ng Maynila (OSMA)," 14°33'56.88""N","120°59'16.81""E",14.5658,120.988003,0,
"May 2, 2023",May 2023,Emergency Medical Response (EMR),11:46:00 am,Vehicular / Road Accident,A. Lorenzo corner Abad Santos South Bound,Motorcycle vs Truck,Ospital ng Tondo," 14°37'7.93""N","120°58'39.67""E",14.618869,120.977686,0,
"May 2, 2023",May 2023,Emergency Medical Response (EMR),11:10:00 am,Vehicular / Road Accident,Lagusnilad Underpass,Motorcycle (Loss of Control),Ospital ng Tondo," 14°35'20.63""N","120°58'51.52""E",14.589064,120.980978,0,
"May 2, 2023",May 2023,Emergency Medical Response (EMR),10:30:00 am,Vehicular / Road Accident,General Luna St. Corner Pedro Gil,Motorcycle vs Pedestrian,Philippine General Hospital (PGH)," 14°34'41.41""N","120°59'35.13""E",14.578169,120.993092,1,
"May 2, 2023",May 2023,Emergency Medical Response (EMR),4:52:00 pm,Vehicular / Road Accident,Lacson Corner Fajardo,Motorcycle vs SUV,Maniila Doctor's Hospital," 14°36'27.12""N","120°59'41.86""E",14.607533,120.994961,0,
"May 3, 2023",May 2023,Emergency Medical Response (EMR),9:45:00 pm,Vehicular / Road Accident,"Mabini , Quirino",Motorcycle vs Sedan,Ospital ng Maynila (OSMA)," 14°34'13.44""N","120°59'29.96""E",14.5704,120.991656,4,
"May 4, 2023",May 2023,Emergency Medical Response (EMR),3:15:00 pm,Vehicular / Road Accident,Arellano Corner Estrada,Bicycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°33'57.32""N","120°59'52.44""E",14.565922,120.9979,0,
"May 5, 2023",May 2023,Emergency Medical Response (EMR),12:55:00 pm,Vehicular / Road Accident,UN Avenue corner Romualdez,Motorcycle vs Taxi,Refused to transport," 14°35'1.06""N","120°59'17.48""E",14.583628,120.988189,3,
"May 5, 2023",May 2023,Emergency Medical Response (EMR),12:55:00 pm,Vehicular / Road Accident,UN Corner Romualdez,Motorcycle vs Taxi,Refused to transport," 14°35'1.06""N","120°59'17.48""E",14.583628,120.988189,3,
"May 6, 2023",May 2023,Emergency Medical Response (EMR),2:41:00 am,Vehicular / Road Accident,Honorio Lopez,Motorcycle vs Tricycle,Chinese General Hospital," 14°37'42.78""N","120°57'54.79""E",14.62855,120.965219,0,
"May 6, 2023",May 2023,Emergency Medical Response (EMR),10:18:00 am,Vehicular / Road Accident,España Blvd Corner Blumentritt,Motorcycle vs Motorcycle,Refused to transport," 14°36'55.85""N","120°59'56.94""E",14.615514,120.99915,0,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),7:42:00 am,Vehicular / Road Accident,Pedro Gil Corner San Marcelino,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.)," 14°34'37.41""N","120°59'25.82""E",14.577058,120.990506,4,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),7:42:00 am,Vehicular / Road Accident,San Marcelino corner Pedro Gil,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.)," 14°34'37.41""N","120°59'25.82""E",14.577058,120.990506,4,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),7:42:00 am,Vehicular / Road Accident,Pedro Gil Corner San Marcelino,Motorcycle vs Motorcycle,Refused to transport," 14°34'37.41""N","120°59'25.82""E",14.577058,120.990506,4,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),8:12:00 am,Vehicular / Road Accident,Singalong corner Nakpil,Motorcycle vs Sedan,Philippine Orthopedic Center (P.O.C.)," 14°34'32.15""N","120°59'35.07""E",14.575597,120.993075,0,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),12:52:00 pm,Vehicular / Road Accident,UN Ave.,Motorcycle vs SUV,Philippine General Hospital (PGH)," 14°34'57.12""N","120°59'5.66""E",14.582533,120.984906,1,
"May 7, 2023",May 2023,Emergency Medical Response (EMR),5:53:00 pm,Vehicular / Road Accident,Road 10 corner Capulong,Motorcycle vs Motorcycle,Gat. Andres Bonifacio Hospital," 14°37'13.14""N","120°57'35.03""E",14.620317,120.959731,1,
"May 8, 2023",May 2023,Emergency Medical Response (EMR),5:39:00 am,Vehicular / Road Accident,In front of Manila City Hall,Motorcycle (Loss of Control),Refused to transport," 14°35'22.94""N","120°58'55.31""E",14.589706,120.982031,0,
"May 8, 2023",May 2023,Emergency Medical Response (EMR),1:50:00 pm,Vehicular / Road Accident,Roxas Blvd corner Pedro Gil,Others,Refused to transport," 14°34'23.71""N","120°58'52.90""E",14.573253,120.981361,0,
"May 8, 2023",May 2023,Emergency Medical Response (EMR),10:38:00 pm,Vehicular / Road Accident,Sobriedad corner H. Ventura St.,Motorcycle (Loss of Control),St. Jude Hospital," 14°36'39.96""N","121° 0'5.59""E",14.6111,121.001553,0,
"May 8, 2023",May 2023,Emergency Medical Response (EMR),10:38:00 pm,Vehicular / Road Accident,Sobriedad corner H. Ventura St.,Motorcycle (Loss of Control),Refused to transport," 14°36'39.96""N","121° 0'5.59""E",14.6111,121.001553,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),12:00:00 pm,Vehicular / Road Accident,Blumentritt (In front of Chinese General Hospital),Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°37'32.71""N","120°59'18.58""E",14.625753,120.988494,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),12:05:00 am,Vehicular / Road Accident,"Beata St., Pandacan Manila",Motorcycle vs Ebike/Bike,Philippine General Hospital (PGH)," 14°35'28.03""N","121° 0'29.35""E",14.591119,121.008153,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),8:19:00 am,Vehicular / Road Accident,Roxas Blvd Service Road (Northbound),Motorcycle (Loss of Control),Refused to transport," 14°34'3.18""N","120°59'2.05""E",14.56755,120.983903,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),2:44:00 pm,Vehicular / Road Accident,Mother Ignacia (In Front of Malate Catholic School),Motorcycle vs Pedestrian,Ospital ng Maynila (OSMA)," 14°34'6.30""N","120°59'10.36""E",14.568417,120.986211,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),2:44:00 pm,Vehicular / Road Accident,Mother Ignacia (In Front of Malate Catholic School),Motorcycle vs Pedestrian,Refused to transport," 14°34'6.30""N","120°59'10.36""E",14.568417,120.986211,0,
"May 9, 2023",May 2023,Emergency Medical Response (EMR),10:29:00 pm,Vehicular / Road Accident,In front of SM City Sta. Mesa,Motorcycle (Loss of Control),Philippine Orthopedic Center (P.O.C.)," 14°36'17.88""N","121° 1'5.40""E",14.604967,121.018167,0,
"May 10, 2023",May 2023,Emergency Medical Response (EMR),7:52:00 pm,Vehicular / Road Accident,Zamora Bridge going Sta Mesa,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.)," 14°35'40.04""N","121° 0'45.63""E",14.594456,121.012675,0,
"May 10, 2023",May 2023,Emergency Medical Response (EMR),11:02:00 pm,Vehicular / Road Accident,Puregold Tayuman,Motorcycle vs Truck,Gat. Andres Bonifacio Hospital," 14°37'6.70""N","120°58'15.64""E",14.618528,120.971011,1,pavement markings
"May 10, 2023",May 2023,Emergency Medical Response (EMR),11:04:00 pm,Vehicular / Road Accident,Dimasalang cro. Craig,Truck vs Pedestrian Struck,Jose Reyes Hospital," 14°37'19.02""N","120°59'23.35""E",14.62195,120.989819,0,"street, no traffic control device"
"May 10, 2023",May 2023,Emergency Medical Response (EMR),7:52:00 pm,Vehicular / Road Accident,Zamora Bridge ,Motorcycle vs Motorcycle,Philippine Orthopedic Center (P.O.C.)," 14°35'38.26""N","121° 0'44.11""E",14.593961,121.012253,0,
"May 10, 2023",May 2023,Emergency Medical Response (EMR),11:04:00 pm,Vehicular / Road Accident,Dimasalang corner Craig Brgy. 497,Truck vs Pedestrian Struck,Jose Reyes Hospital," 14°37'19.02""N","120°59'23.35""E",14.62195,120.989819,0,"street, no traffic control device"
"May 11, 2023",May 2023,Emergency Medical Response (EMR),12:42:00 am,Vehicular / Road Accident,"Dimasalang corner Craig, Sampaloc Manila",Truck vs Pedestrian Struck,Jose Reyes Hospital," 14°37'19.02""N","120°59'23.35""E",14.62195,120.989819,0,"street, no traffic control device"
"May 11, 2023",May 2023,Emergency Medical Response (EMR),5:17:00 am,Vehicular / Road Accident,Angel Linao corner Quirino Avenue ,Motorcycle vs Tricycle,Ospital ng Maynila (OSMA)," 14°34'27.43""N","120°59'41.33""E",14.574286,120.994814,0,"street, no traffic control device"
"May 11, 2023",May 2023,Emergency Medical Response (EMR),5:39:00 am,Vehicular / Road Accident,Angel Linao corner Quirino Avenue,Motorcycle vs Tricycle,Philippine General Hospital (PGH)," 14°34'27.43""N","120°59'41.33""E",14.574286,120.994814,0,"street, no traffic control device"
"May 11, 2023",May 2023,Emergency Medical Response (EMR),7:03:00 am,Vehicular / Road Accident,"Road 10, Lakandula Southbound",Motorcycle vs Truck,Others," 14°36'16.86""N","120°57'41.50""E",14.604683,120.961528,2,"road pavement, barricade"
"May 11, 2023",May 2023,Emergency Medical Response (EMR),9:07:00 pm,Vehicular / Road Accident,UN Roxas Boulevard,Motorcycle vs Pedestrian,Refused to transport," 14°34'43.55""N","120°58'40.51""E",14.578764,120.977919,2,intersection and road markings
"May 11, 2023",May 2023,Emergency Medical Response (EMR),4:07:00 pm,Vehicular / Road Accident,"Mabini St., Infront of Ospital ng Maynila",Motorcycle vs PUV,Ospital ng Maynila (OSMA)," 14°33'52.15""N","120°59'13.71""E",14.564486,120.987142,1,road markings
"May 11, 2023",May 2023,Emergency Medical Response (EMR),7:13:00 pm,Vehicular / Road Accident,Magistrado Araullo St.,Motorcycle (Loss of Control),Manila Medical Center," 14°35'45.03""N","121° 0'56.56""E",14.595842,121.015711,0,"street view, no traffic control device"
"May 12, 2023",May 2023,Emergency Medical Response (EMR),4:04:00 pm,Vehicular / Road Accident,Roxas Boulevard corner UN Avenue Ermita Manila,Motorcycle (Loss of Control),Refused to transport," 14°34'43.08""N","120°58'40.52""E",14.578633,120.977922,1,road markings
"May 13, 2023",May 2023,Emergency Medical Response (EMR),12:32:00 am,Vehicular / Road Accident,Quirino Taft,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°34'13.03""N","120°59'30.13""E",14.570286,120.991703,4,"road markings, pedestrian lane, 2 traffic signs"
"May 13, 2023",May 2023,Emergency Medical Response (EMR),2:45:00 am,Vehicular / Road Accident,Quirino Taft,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°34'13.03""N","120°59'30.13""E",14.570286,120.991703,4,"road markings, pedestrian lane, 2 traffic signs"
"May 14, 2023",May 2023,Emergency Medical Response (EMR),4:16:00 pm,Vehicular / Road Accident,Nagtahan Bridge Northbound,Motorcycle vs Motorcycle,Refused to transport," 14°36'3.79""N","120°59'59.99""E",14.601053,120.999997,4,"road markings, pedestrian lane, 2 traffic signs"
"May 14, 2023",May 2023,Emergency Medical Response (EMR),4:58:00 pm,Vehicular / Road Accident,Legarda Flyover ,Motorcycle vs Motorcycle,Jose Reyes Hospital," 14°36'3.07""N","120°59'50.34""E",14.600853,120.997317,3,"bike lane markings, 2 traffic signs"
"May 14, 2023",May 2023,Emergency Medical Response (EMR),10:34:00 pm,Vehicular / Road Accident,Romualdez St.,Motorcycle vs Motorcycle,Ospital ng Maynila (OSMA)," 14°35'6.59""N","120°59'15.74""E",14.585164,120.987706,1,no parking sign
"May 15, 2023",May 2023,Emergency Medical Response (EMR),12:31:00 pm,Vehicular / Road Accident,Dapitan corner Marzan,Others,Double two upon arrival," 14°36'53.11""N","120°59'30.14""E",14.614753,120.991706,0,
"May 15, 2023",May 2023,Emergency Medical Response (EMR),3:56:00 pm,Vehicular / Road Accident,Katigbak St.corner Bonifacio Drive,Motorcycle (Loss of Control),Ospital ng Maynila (OSMA)," 14°34'58.07""N","120°58'31.50""E",14.582797,120.975417,3,"pavement, intersection, and pedestrian lane"
"May 15, 2023",May 2023,Emergency Medical Response (EMR),6:33:00 pm,Vehicular / Road Accident,Infront Kartilya ng Katipunan,Motorcycle (Loss of Control),Refused to transport," 14°35'27.10""N","120°58'50.60""E",14.590861,120.980722,0,
