mfcc	contrast	centriod	emotion
"[[-8.6242780e+02 -8.6242780e+02 -8.6242780e+02 ... -8.4251947e+02
  -8.5065704e+02 -8.5950745e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.5969868e+01
   1.5731327e+01  3.9856730e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.1074257e+01
   1.3386015e+01  3.5708504e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.9509182e-01
   6.3281906e-01 -1.1858273e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.3102629e-01
   5.9881139e-01 -1.1053057e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.9358904e-03
   7.5068104e-01 -8.4449160e-01]]"	"[[ 2.05237666  1.9256935   3.34041409 ...  7.43036847  5.1884308
   6.84765918]
 [ 3.78959202  5.91669563 19.16328676 ...  9.25546643  5.20404167
   5.94397627]
 [ 3.50213722  2.85020842  7.21059803 ...  9.54022601 11.25939922
  13.43210275]
 ...
 [11.33826135 10.01318661 11.73908272 ... 12.00158801 13.46730605
  14.65510598]
 [14.4602091  13.13318369 12.38698455 ... 12.54966175 12.75407402
  12.11859975]
 [14.53565799 15.36392194 34.94545129 ... 36.68816483 28.665613
  22.52359906]]"	"[[-2.45542396e-02 -1.17757622e-02 -3.10980204e-02 ... -3.33275627e-02
  -2.24176066e-02 -3.65678869e-02]
 [ 2.22438219e-02 -4.02955024e-03  2.92099061e-03 ...  2.20641927e-02
   1.52009696e-02 -8.76289428e-04]
 [ 3.28645110e-02  2.32671909e-02  2.34765895e-02 ...  4.92132194e-02
   5.99143878e-02  7.45474622e-02]
 [-2.48876438e-02 -3.71311679e-02 -2.98388898e-02 ... -3.95726487e-02
  -3.84333357e-02 -5.70464209e-02]
 [-1.13284325e-03 -9.39874786e-04  2.49852752e-05 ...  6.46314982e-03
   5.00031350e-03  2.35070644e-03]
 [ 1.42635126e-02  2.45442279e-02  3.16262124e-02 ...  5.17159970e-02
   4.46783565e-02  3.87906954e-02]]"	sad
"[[-8.6459601e+02 -8.6459601e+02 -8.6459601e+02 ... -8.5360150e+02
  -8.4883557e+02 -8.5492194e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.4481892e+01
   2.0706684e+01  1.2360434e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.1892013e+01
   1.6791283e+01  9.1170473e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.7389969e+00
  -1.6804767e+00  1.4103098e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.4864182e+00
  -3.2989576e+00 -9.5504895e-02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.1497715e+00
  -3.3126047e+00 -9.8181731e-01]]"	"[[16.75238163 16.75238163 16.75238163 ...  7.09386837  6.47776617
   9.63190484]
 [16.75238163 16.75238163 16.75238163 ...  5.42641861  5.42960809
   5.96600568]
 [16.75238163 16.75238163 16.75238163 ... 12.41051232 16.04562817
  11.85546814]
 ...
 [16.75238163 16.75238163 16.75238163 ... 16.06597435 10.18274373
  11.86226494]
 [16.75238163 16.75238163 16.75238163 ... 13.04416468 13.5342154
  11.25546749]
 [16.75238163 16.75238163 16.75238163 ... 39.82509042 31.38570061
  27.31790772]]"	"[[ 0.05319933  0.04223325  0.02703847 ... -0.01921977 -0.02011007
  -0.03658119]
 [ 0.20049772  0.10701678  0.0613776  ... -0.04993673 -0.04836621
  -0.04957895]
 [ 0.03408401  0.1068529   0.13535451 ...  0.00375095  0.00955461
   0.02716706]
 [-0.01012639 -0.07190979 -0.0409773  ... -0.11212298 -0.12083858
  -0.13504948]
 [ 0.02911218  0.02992962  0.02535773 ...  0.01314548  0.02020866
   0.01981644]
 [-0.00163175 -0.02374533 -0.01208073 ...  0.01598686  0.01594998
   0.01754786]]"	sad
"[[-8.7999860e+02 -8.7954895e+02 -8.7780841e+02 ... -7.9876758e+02
  -7.7535596e+02 -8.0249658e+02]
 [ 0.0000000e+00  6.3569331e-01  3.0945430e+00 ...  6.0606365e+01
   7.0826393e+01  6.3209133e+01]
 [ 0.0000000e+00  6.3511795e-01  3.0858409e+00 ... -5.8893251e+00
  -1.9036789e+01 -4.5208702e+00]
 ...
 [ 0.0000000e+00  6.1679077e-01  2.8177028e+00 ... -3.8258140e+00
  -4.2711635e+00  1.9072147e-01]
 [ 0.0000000e+00  6.1282492e-01  2.7616220e+00 ... -2.1871309e+00
  -2.5795884e+00 -1.0778499e+00]
 [ 0.0000000e+00  6.0850030e-01  2.7012296e+00 ...  9.9892998e+00
   8.2375946e+00  8.3088503e+00]]"	"[[ 3.71807175 11.57975369  9.05224091 ...  7.60875441 10.95753613
  10.37166285]
 [ 3.15431995  4.78651218  5.68058619 ... 11.4510921  10.21858522
   8.11129046]
 [ 4.41018041 11.24004112 12.63570462 ... 11.4905153  13.74713234
  11.88190067]
 ...
 [10.8709766  11.48215674 13.30423922 ...  9.89341862  9.04168182
  11.50840303]
 [ 9.68713333 11.68636017 11.4472663  ... 14.78883078 13.28206386
  12.26111951]
 [34.4439767  33.88457772 34.89098995 ... 40.34443266 22.77515171
  16.86348641]]"	"[[-0.03801929 -0.03420248 -0.03075081 ... -0.03907653 -0.03538412
  -0.03331104]
 [ 0.04180426  0.04095642  0.03488488 ... -0.0241017  -0.02169581
  -0.00717606]
 [ 0.07849285  0.07630973  0.07576724 ...  0.02393798  0.01255036
   0.01024479]
 [ 0.01298906  0.0099435   0.00794916 ... -0.09952202 -0.07572966
  -0.06525248]
 [ 0.00685335  0.00635912  0.00345739 ...  0.02547059  0.01807274
   0.02251629]
 [ 0.02545423  0.0224222   0.01566641 ... -0.01720522 -0.01579963
  -0.01789277]]"	sad
"[[-852.45526   -852.45526   -852.45526   ... -831.72314   -839.39703
  -845.69415  ]
 [   0.           0.           0.        ...   25.510963    16.704731
     8.81215  ]
 [   0.           0.           0.        ...   16.957886    12.258952
     6.8341317]
 ...
 [   0.           0.           0.        ...   -4.156484    -4.683582
    -4.6994495]
 [   0.           0.           0.        ...   -3.7412238   -6.387517
    -4.684759 ]
 [   0.           0.           0.        ...   -4.626893    -6.4699645
    -3.824383 ]]"	"[[ 5.11117442 11.82697367  5.15247189 ...  6.82355124  9.55633171
   4.86708281]
 [ 6.57569564  4.55926323  5.22162745 ...  6.98812349  5.78499289
  10.88940505]
 [12.1760842   7.19205795 13.34658415 ... 11.32616925  9.90545261
   7.45848256]
 ...
 [11.11171029 14.68110743 11.36184792 ... 11.41927011 15.26388447
  13.09947962]
 [10.85607232 11.507078   12.89420755 ... 11.48177713 11.72330832
  13.53516462]
 [35.9216634  34.04049018 33.76470329 ... 36.49504194 21.66247601
  16.62404331]]"	"[[-1.10206175e-02 -1.03715104e-02  8.98057243e-05 ...  2.27422235e-02
   4.60143966e-03 -7.77449605e-03]
 [ 3.41423677e-02  4.50889624e-02  7.30693978e-02 ... -1.26623954e-02
  -2.29191088e-02 -2.38434901e-02]
 [-1.12114698e-02  5.40537387e-03  2.07206905e-02 ... -3.50712985e-02
  -4.97144833e-02 -4.50157374e-02]
 [ 1.88623816e-02  2.45244652e-02  2.78060623e-02 ...  4.94055450e-04
   4.56638634e-04  7.04428926e-03]
 [ 2.67794112e-02  2.00820573e-02  2.64764569e-02 ...  2.02069853e-02
   1.95478315e-02  1.78275802e-02]
 [ 6.25425950e-04 -1.29732862e-03 -1.08128441e-02 ...  1.39635969e-02
   2.06233785e-02  1.67219052e-02]]"	sad
"[[-9.9510345e+02 -9.6768500e+02 -9.2274829e+02 ... -9.1941620e+02
  -9.1471399e+02 -9.1300897e+02]
 [ 1.6972462e+01  9.5432377e+00  1.1217274e+01 ...  1.9458836e+01
   1.8862236e+01  4.4695984e+01]
 [ 2.2363129e+01  1.3652210e+01  1.1037989e+01 ...  1.3218809e+01
   1.6464285e+01  3.6187450e+01]
 ...
 [ 7.1274242e+00  9.4696808e+00  8.9654446e+00 ...  9.3338718e+00
   6.8692541e+00  1.0207176e+01]
 [ 4.3309350e+00 -1.4920557e-01  3.5815189e+00 ...  6.6002378e+00
   6.4937210e+00  5.6305571e+00]
 [ 5.3082132e+00  1.7086304e+00  4.3261328e+00 ...  4.3864255e+00
   5.2286010e+00  8.5447007e-01]]"	"[[ 5.03891656 19.28147896 14.81363874 ... 11.73747298 16.60366631
   9.72249969]
 [ 2.76958006  3.56678874  6.41057995 ...  9.40693388  8.56499392
   1.63425209]
 [ 8.73597453 13.66504869  6.56020211 ... 14.92829874 10.54619744
   5.55694352]
 ...
 [12.75885913  9.28300547 13.25094241 ... 10.19070334 10.63623105
  14.44665997]
 [14.62657091 11.85487001 14.56338821 ... 14.05693261 12.88921366
  13.45417783]
 [12.89404438 17.75817511 36.96561749 ... 38.15266625 29.29079417
  23.46848862]]"	"[[ 0.03041967  0.03364485  0.02416556 ...  0.03970694  0.04342862
   0.04252374]
 [ 0.01089319  0.00677765  0.00977801 ...  0.0104177   0.01396019
   0.00641115]
 [ 0.1019997   0.09818571  0.10129651 ... -0.05816499 -0.06601543
  -0.07027706]
 [ 0.04759581  0.04867424  0.0564792  ... -0.00101515  0.00321781
   0.00387435]
 [ 0.01975808  0.01848354  0.01356064 ... -0.00389459 -0.00428912
  -0.0012065 ]
 [-0.01147654 -0.00992123 -0.00414406 ... -0.0059347  -0.00474954
  -0.00366428]]"	sad
"[[-797.3735 -797.3735 -797.3735 ... -797.3735 -797.3735 -797.3735]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]"	"[[15.92171876 12.98630696  5.78901357 ...  2.35172626  2.54290668
  13.28623594]
 [10.76085637  4.8376103   8.05868293 ...  4.21990047  3.94863419
  10.45625379]
 [ 7.35258327  6.69550949  7.07969512 ...  7.78091138  3.92358689
  11.11347935]
 ...
 [ 7.71126658  9.62913076 12.32127839 ... 12.49554269  8.09561569
  14.65847223]
 [ 8.59117809 12.66388809 10.81293264 ...  9.91124594 10.62422925
  12.90153509]
 [35.98037348 37.71898502 35.74368999 ... 35.77157013 36.35575361
  37.25448589]]"	"[[-0.02902501  0.00837247  0.01020475 ...  0.01623311  0.02021788
   0.02439204]
 [-0.00263261 -0.00128736  0.01019385 ...  0.03796482  0.03367417
   0.0251999 ]
 [ 0.014421   -0.00385353 -0.00249179 ...  0.02183839  0.01299446
   0.01555138]
 [-0.02445772  0.00150707 -0.01857694 ...  0.02055048  0.01798463
   0.01892026]
 [ 0.01729158 -0.00178829  0.01224801 ...  0.03479881  0.02545669
   0.02792851]
 [ 0.00824007  0.01591093  0.01783735 ...  0.00603303  0.00744606
   0.00333249]]"	suprised
"[[-754.60785   -754.60785   -754.60785   ... -748.91144   -752.61786
  -754.60785  ]
 [   0.           0.           0.        ...    8.028818     2.807465
     0.       ]
 [   0.           0.           0.        ...    7.9480495    2.7872794
     0.       ]
 ...
 [   0.           0.           0.        ...    5.6622076    2.1914613
     0.       ]
 [   0.           0.           0.        ...    5.2337694    2.0735598
     0.       ]
 [   0.           0.           0.        ...    4.7914457    1.9492953
     0.       ]]"	"[[15.03090249 15.03090249 15.03090249 ...  5.21069016 15.9021459
   4.34792868]
 [15.03090249 15.03090249 15.03090249 ...  7.94584024  6.38500109
   2.96323388]
 [15.03090249 15.03090249 15.03090249 ... 13.12907073 14.22084384
   8.79026287]
 ...
 [15.03090249 15.03090249 15.03090249 ...  9.15353551 12.18855813
   8.10796457]
 [15.03090249 15.03090249 15.03090249 ... 11.12044378 11.2945382
  13.88090148]
 [15.03090249 15.03090249 15.03090249 ... 36.71510574 36.13902756
  33.19796607]]"	"[[ 0.06978496  0.11871488  0.0959981  ...  0.04737107  0.05105335
   0.04967023]
 [ 0.1174771   0.12071132  0.11399937 ... -0.02614024 -0.0369378
  -0.04440194]
 [ 0.04117626 -0.00134704 -0.03358217 ... -0.007578    0.00240438
   0.01229555]
 [-0.02747555  0.00270587  0.05865101 ... -0.03917718 -0.03669672
  -0.01862196]
 [ 0.05511823  0.06390343  0.05404258 ...  0.03463678  0.03860315
   0.04128292]
 [ 0.05310815  0.0835938   0.09631286 ...  0.00589867  0.00952642
   0.010295  ]]"	suprised
"[[-7.72978882e+02 -7.72838379e+02 -7.72747009e+02 ... -7.01858948e+02
  -7.02739441e+02 -7.03899780e+02]
 [ 1.19272791e-01  3.17978770e-01  4.47172821e-01 ...  6.12761078e+01
   6.20378456e+01  6.42131195e+01]
 [ 1.19245842e-01  3.17906916e-01  4.47071820e-01 ... -1.65490794e+00
   3.09430182e-01  3.72322321e+00]
 ...
 [ 1.18384719e-01  3.15611184e-01  4.43843305e-01 ... -6.72187996e+00
   2.06511235e+00  5.93695116e+00]
 [ 1.18196622e-01  3.15109730e-01  4.43138123e-01 ...  3.40759277e+00
   8.01764393e+00  6.31719112e+00]
 [ 1.17990725e-01  3.14562678e-01  4.42368060e-01 ...  3.14471483e+00
   4.96396112e+00  2.66668558e+00]]"	"[[ 6.27890742 11.27040429 13.57339622 ... 11.26307313  9.70164792
   5.52507691]
 [ 6.21650083  5.80946933  7.0991746  ... 11.27947281  3.98907397
   6.97799057]
 [ 9.13658378 12.13048623  8.93335502 ...  7.74584098 14.57377946
   6.86442572]
 ...
 [13.41556212 12.21345753 11.40260116 ... 14.59349102 15.41048005
  14.26370652]
 [13.32151075 14.6595099  12.24911464 ... 21.81121578 15.53068287
  17.76403475]
 [14.59913856 18.71260597 36.44181228 ... 42.20720949 21.33763608
  16.31628314]]"	"[[ 0.01003928  0.01185419  0.0120638  ...  0.0002137  -0.01437417
   0.01506972]
 [ 0.00246459  0.00716454  0.00085474 ... -0.03935716 -0.02919899
  -0.03888378]
 [-0.07952974 -0.07805659 -0.07657205 ... -0.02614956  0.00127687
  -0.0295211 ]
 [ 0.00661974  0.01656576  0.02433634 ... -0.03133681 -0.03737061
  -0.02597449]
 [-0.00187838 -0.00709642 -0.00698423 ... -0.00754386 -0.01141053
  -0.01231901]
 [ 0.00110786  0.00387731  0.00598436 ...  0.01500573 -0.00338871
  -0.00593303]]"	suprised
"[[-7.6266266e+02 -7.6266266e+02 -7.6266266e+02 ... -7.6266266e+02
  -7.6261774e+02 -7.6266266e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
   6.2615894e-02  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
   6.0222086e-02  0.0000000e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
  -1.5562531e-03  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
  -1.1608617e-02  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
  -2.1366343e-02  0.0000000e+00]]"	"[[14.92136193 14.92136193 14.92136193 ...  7.17003209 14.32957625
  10.75198   ]
 [14.92136193 14.92136193 14.92136193 ...  5.57352328  5.03212048
   6.51520184]
 [14.92136193 14.92136193 14.92136193 ...  9.0138001   5.72544724
  10.76111139]
 ...
 [14.92136193 14.92136193 14.92136193 ...  9.06838746 12.94750395
  10.35269008]
 [14.92136193 14.92136193 14.92136193 ... 13.83054006  9.49020979
  12.10829293]
 [14.92136193 14.92136193 14.92136193 ... 38.71487126 21.80544236
  18.7152244 ]]"	"[[ 0.00044226 -0.01003099 -0.01092573 ...  0.02063165  0.0161705
   0.00179989]
 [ 0.01960279  0.03590669  0.04519976 ... -0.00388456 -0.00918744
  -0.0117542 ]
 [-0.0628049  -0.0601568  -0.05757727 ... -0.06162207 -0.01241419
  -0.00582401]
 [ 0.03584352  0.02200725  0.01527962 ... -0.00151564  0.02559629
   0.03448316]
 [ 0.04726294  0.05168611  0.04998814 ... -0.00733649 -0.00999246
  -0.01392565]
 [ 0.00233237 -0.0050475  -0.0077798  ...  0.00291181  0.01171281
   0.00944952]]"	suprised
"[[-810.13727   -806.6434    -805.66406   ... -794.37396   -792.8794
  -796.1349   ]
 [   0.           4.938315     6.3222704 ...   21.30994     23.310383
    19.06153  ]
 [   0.           4.929964     6.3111115 ...   18.720585    20.404345
    17.014994 ]
 ...
 [   0.           4.6681175    5.9632487 ...    9.7684355    9.681438
     6.503057 ]
 [   0.           4.612212     5.889504  ...    7.9034543    8.473648
     6.518283 ]
 [   0.           4.5515394    5.809681  ...    5.790559     7.1171484
     6.000269 ]]"	"[[ 9.78659863 17.02759929 19.35195818 ... 16.0402237  14.4494475
  18.03776753]
 [ 3.10727032  3.80362026  5.0662102  ...  8.81749057 11.71339246
   8.39940084]
 [ 2.16379246  7.15058859 15.55327033 ... 12.678723    6.10254444
   9.37677581]
 ...
 [10.68873235 11.79019258 12.48716696 ... 13.36644579 12.9669135
   9.14162553]
 [11.76107977 14.94623411 11.65584126 ... 13.62786256 17.46593661
  12.77813722]
 [32.57973786 34.21516973 35.85548576 ... 36.67820119 18.45017581
  13.92220633]]"	"[[-8.91546174e-02 -8.13407794e-02 -8.63494156e-02 ... -3.92873768e-02
  -3.43841380e-02 -3.74231788e-02]
 [-6.48575368e-02 -6.42197234e-02 -6.29551681e-02 ...  5.14847135e-03
  -8.95046708e-05 -3.24622249e-03]
 [-4.01470419e-02 -3.28671020e-02 -2.68037952e-02 ... -1.64341480e-02
  -1.56275928e-04  5.77402860e-03]
 [ 4.47483696e-02  4.01647277e-02  3.76859158e-02 ... -4.35567051e-02
  -4.43165526e-02 -3.99600491e-02]
 [ 1.62783367e-04 -1.95886800e-03 -2.88108178e-03 ... -1.00964289e-02
  -2.07677659e-03  2.69062814e-03]
 [ 6.05696696e-02  5.36821247e-02  5.40602626e-02 ...  5.09870239e-03
   8.99044238e-03  7.09576905e-03]]"	suprised
